name;z3-runtime;z3-result;cvc5-runtime;cvc5-result;z3-noodler-9f5e602-runtime;z3-noodler-9f5e602-result;z3str4-runtime;z3str4-result;z3strRE-runtime;z3strRE-result;ostrich-runtime;ostrich-result
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/inter_mod3_unsat.smt2;0.01; unsat;TO;TO;0.03; unsat;0.01; unsat;0.01; unsat;2.16; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/deadloop3_unsat.smt2;0.11; unsat;0.01; unsat;0.03; unsat;0.48; unsat;0.01; unsat;2.21; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/zelkova_fmcad18_example_explicit_inter_unsat.smt2;0.02; unsat;0.0; unsat;0.01; unsat;0.0; unsat;0.36; unsat;2.17; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/simple_neq_unsat.smt2;0.02; unsat;ERR;ERR;ERR;ERR;0.0; unsat;0.01; sat;2.21; sat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/nestedloop1_unsat.smt2;0.03; unsat;0.02; unsat;0.03; unsat;0.17; unsat;0.01; unsat;2.32; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/evil1_unsat.smt2;0.04; unsat;0.0; unsat;0.02; unsat;0.0; unsat;0.0; unsat;2.24; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/simple_complement_unsat.smt2;0.02; unsat;TO;TO;0.02; unsat;1.02; unknown;0.0; unknown;2.24; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/zelkova_fmcad18_example_implicit_inter_unsat.smt2;TO;TO;0.0; unsat;0.01; unsat;1.06; unsat;0.04; unsat;2.09; unsat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/evil1_neq_unsat.smt2;0.02; unsat;0.0; unsat;ERR;ERR;0.0; unsat;0.0; unsat;2.37; sat
../formulae/regex-smt-benchmarks/boolean_and_loops/unsat/demo_unsat.smt2;0.01; unsat;0.02; unsat;0.02; unsat;0.0; unsat;0.0; unsat;2.28; unsat
