name;z3-noodler-f552b5f-d95fe13-runtime;z3-noodler-f552b5f-d95fe13-result;cvc5-1.1.2-runtime;cvc5-1.1.2-result;ostrich-e386836db-runtime;ostrich-e386836db-result;z3-4.13.0-runtime;z3-4.13.0-result;z3-noodler-b7b8ad5-d95fe13-runtime;z3-noodler-b7b8ad5-d95fe13-result;z3-noodler-59f141d-d95fe13-runtime;z3-noodler-59f141d-d95fe13-result;z3-noodler-0ce8a69-d95fe13-runtime;z3-noodler-0ce8a69-d95fe13-result;ostrich-1.4pre-runtime;ostrich-1.4pre-result;z3-alpha-smtcomp2024-runtime;z3-alpha-smtcomp2024-result;z3-noodler-4bcf006-d95fe13-runtime;z3-noodler-4bcf006-d95fe13-result;z3-noodler-69644b5-d95fe13-runtime;z3-noodler-69644b5-d95fe13-result
../formulae/QF_SNIA/20200224-Wu-PyExZ3/dddb9cc1f86d5738fd85ffa1b430c4e9df9771c0fffa945b9b414772.smt2;0.01; sat;0.0; sat;1.03; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;1.46; sat;0.05; unsupported###sat;0.02; sat;0.01; sat
../formulae/QF_SNIA/20200224-Wu-PyExZ3/bdcb3877984a55b540face066045c4642cba1bc553af78576a41a76e.smt2;0.01; sat;0.0; sat;1.24; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.0; sat;2.03; sat;0.01;;0.0; sat;0.02; sat
../formulae/QF_SNIA/20200224-Wu-PyExZ3/e007cfdcf4dd61007107222cbedbb46ad161a945ab5ee0a68d3f585a.smt2;0.01; sat;0.0; sat;2.06; sat;0.02; unsupported###sat;0.01; sat;0.0; sat;0.01; sat;2.85; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20200224-Wu-PyExZ3/f72b09bc9444f702ad7cdf3a9075754e71d673f3d134d9f485f6608a.smt2;0.01; sat;0.0; sat;2.54; sat;0.01; unsupported###sat;0.0; sat;0.01; sat;0.02; sat;3.11; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20200224-Wu-PyExZ3/5735c9082c3f9cd487c6376032029bb499ba1f87113dc9ca03adc6bc.smt2;0.02; sat;0.0; sat;1.01; sat;0.02; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;1.79; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1633.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.74; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.4; sat;0.01;;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1635.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.67; sat;0.0; unsupported###sat;0.02; sat;0.01; sat;0.01; sat;2.53; sat;0.04; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1636.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.77; sat;0.01; unsupported###sat;0.01; sat;0.01; sat;0.02; sat;2.62; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2010.corecstrs.readable.smt2;0.01; sat;0.0; sat;1.58; sat;0.01; unsupported###sat;0.02; sat;0.01; sat;0.02; sat;2.47; sat;0.03; unsupported###sat;0.02; sat;0.0; sat
../formulae/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1566.corecstrs.readable.smt2;0.02; sat;0.0; sat;1.9; sat;0.02; unsupported###sat;0.01; sat;0.01; sat;0.01; sat;2.46; sat;0.03; unsupported###sat;0.01; sat;0.01; sat
