name;cvc5-runtime;cvc5-result;z3-runtime;z3-result;z3-noodler-c0f3244-runtime;z3-noodler-c0f3244-result;z3-noodler-6e14cda-runtime;z3-noodler-6e14cda-result;z3-noodler-59658f7-runtime;z3-noodler-59658f7-result
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_20.smt2;0.04; sat;0.05; sat;0.05; sat;0.05; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_52.smt2;0.08; sat;0.28; sat;6.09; sat;6.08; sat;6.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_50.smt2;0.05; sat;0.07; sat;0.04; sat;0.05; sat;0.05; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_44.smt2;0.05; unsat;0.05; unsat;0.04; unsat;0.05; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_108.smt2;0.04; sat;0.05; sat;0.04; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_56.smt2;0.08; sat;0.01; sat;0.02; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_85.smt2;0.15; sat;0.06; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_14.smt2;0.11; sat;0.17; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_118.smt2;0.04; sat;0.04; sat;0.03; sat;0.04; sat;0.06; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_73.smt2;0.03; sat;0.04; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_191.smt2;0.01; sat;0.01; sat;0.03; sat;0.04; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_160.smt2;0.07; sat;0.05; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_49.smt2;0.04; unsat;0.02; unsat;0.04; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_162.smt2;0.13; unsat;0.02; unsat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_81.smt2;0.09; sat;0.13; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_68.smt2;0.01; sat;0.03; sat;0.02; sat;0.01; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_119.smt2;0.04; unsat;0.02; unsat;0.02; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_109.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_55.smt2;0.15; sat;0.04; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_179.smt2;0.01; sat;0.01; sat;0.03; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_19.smt2;0.09; unsat;0.07; unsat;0.03; unsat;0.03; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_80.smt2;0.12; sat;0.03; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_128.smt2;0.07; sat;0.03; sat;0.04; sat;0.06; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_13.smt2;0.06; sat;0.03; sat;0.05; sat;0.03; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_64.smt2;0.06; sat;0.04; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_115.smt2;0.12; sat;0.04; sat;0.06; sat;0.06; sat;0.06; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_168.smt2;0.02; sat;0.03; sat;0.02; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_135.smt2;0.05; sat;0.04; sat;0.23; sat;0.24; sat;0.2; sat
