name;cvc5-runtime;cvc5-result;z3-runtime;z3-result;z3-noodler-c0f3244-runtime;z3-noodler-c0f3244-result;z3-noodler-97c3742-runtime;z3-noodler-97c3742-result;z3-noodler-6e14cda-runtime;z3-noodler-6e14cda-result;z3-noodler-59658f7-runtime;z3-noodler-59658f7-result
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_123.smt2;0.07; sat;0.03; sat;TO;TO;TO;TO;TO;TO;TO;TO
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_116.smt2;0.03; sat;0.13; sat;0.05; sat;0.05; sat;0.05; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_77.smt2;0.06; sat;0.04; sat;TO;TO;TO;TO;TO;TO;TO;TO
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_14.smt2;0.02; sat;0.03; sat;0.05; sat;0.05; sat;0.05; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_18.smt2;0.02; sat;0.02; sat;0.02; sat;0.04; sat;0.02; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_156.smt2;0.01; sat;0.04; sat;0.04; sat;0.05; sat;0.04; sat;0.06; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_81.smt2;0.02; sat;0.02; sat;0.04; sat;0.02; sat;0.04; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_197.smt2;0.01; sat;0.02; sat;0.03; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_93.smt2;0.0; sat;0.02; sat;0.01; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_125.smt2;0.02; sat;0.06; sat;0.03; sat;0.01; sat;0.04; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_192.smt2;0.0; sat;0.01; sat;0.02; sat;0.03; sat;0.03; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_59.smt2;0.03; sat;0.03; sat;0.04; sat;0.03; sat;0.03; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_80.smt2;0.04; sat;0.05; sat;TO;TO;TO;TO;TO;TO;TO;TO
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_147.smt2;0.03; sat;0.09; sat;0.02; sat;0.02; sat;0.04; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_183.smt2;0.02; sat;0.01; sat;0.01; sat;0.03; sat;0.04; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_190.smt2;0.01; sat;0.03; sat;0.02; sat;0.01; sat;0.01; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_96.smt2;0.03; sat;0.02; sat;0.02; sat;0.02; sat;0.03; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_32.smt2;0.03; sat;0.03; sat;0.01; sat;0.02; sat;0.03; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_117.smt2;0.04; sat;0.04; sat;0.04; sat;0.04; sat;0.04; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_150.smt2;0.05; sat;0.06; sat;TO;TO;TO;TO;TO;TO;TO;TO
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_175.smt2;0.01; sat;0.01; sat;0.01; sat;0.02; sat;0.04; sat;0.01; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_56.smt2;0.02; sat;0.09; sat;0.02; sat;0.04; sat;0.02; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_54.smt2;0.03; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_73.smt2;0.01; sat;0.01; sat;0.02; sat;0.02; sat;0.04; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_131.smt2;0.05; sat;0.52; sat;0.04; sat;0.02; sat;0.03; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_76.smt2;0.02; sat;0.01; sat;0.02; sat;0.01; sat;0.05; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_78.smt2;0.02; sat;0.02; sat;0.02; sat;0.02; sat;0.04; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_47.smt2;0.04; sat;0.01; sat;0.03; sat;0.02; sat;0.02; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_89.smt2;0.01; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_90.smt2;0.01; sat;0.03; sat;0.02; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_23.smt2;0.01; sat;0.01; sat;0.03; sat;0.02; sat;0.03; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_110.smt2;0.02; sat;0.56; sat;0.04; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_20.smt2;0.01; sat;0.02; sat;0.6; sat;0.59; sat;0.59; sat;0.59; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_170.smt2;0.0; sat;0.01; sat;0.02; sat;0.02; sat;0.02; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_111.smt2;TO;TO;0.13; sat;30.83; sat;30.53; sat;31.54; sat;30.73; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_6.smt2;0.07; sat;0.04; sat;TO;TO;TO;TO;TO;TO;TO;TO
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_113.smt2;0.03; sat;0.01; sat;0.03; sat;0.03; sat;0.03; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_160.smt2;0.01; sat;0.03; sat;0.02; sat;0.02; sat;0.01; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_168.smt2;0.0; sat;0.02; sat;0.02; sat;0.02; sat;0.01; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_184.smt2;0.04; sat;0.18; sat;0.02; sat;0.01; sat;0.02; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_60.smt2;0.08; sat;0.02; sat;TO;TO;TO;TO;TO;TO;TO;TO
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_40.smt2;0.03; sat;0.07; sat;0.03; sat;0.02; sat;0.03; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_164.smt2;0.01; sat;0.03; sat;0.05; sat;0.04; sat;0.02; sat;0.01; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_72.smt2;0.04; sat;0.07; sat;0.04; sat;0.03; sat;0.04; sat;0.02; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_119.smt2;0.01; sat;0.04; sat;0.03; sat;0.03; sat;0.03; sat;0.01; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_19.smt2;0.01; sat;0.01; sat;0.02; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_7.smt2;0.04; sat;0.01; sat;0.04; sat;0.03; sat;0.01; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_189.smt2;0.08; sat;0.01; sat;TO;TO;TO;TO;TO;TO;TO;TO
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_130.smt2;0.01; sat;0.01; sat;0.01; sat;0.03; sat;0.03; sat;0.04; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_145.smt2;0.05; sat;0.02; sat;15.56; sat;16.16; sat;16.51; sat;16.16; sat
../formulae/QF_S/20230329-woorpje-lu/track01/01_track_154.smt2;0.02; sat;0.03; sat;0.04; sat;0.03; sat;0.0; sat;0.03; sat
